order_item_id,order_id,product_id,quantity,unit_price,line_amount
1,O1,P10,8,85.46,683.68
2,O1,P21,8,231.11,1848.88
3,O1,P14,10,487.34,4873.4
4,O1,P66,4,342.6,1370.4
5,O2,P17,10,55.13,551.3
6,O2,P52,3,339.53,1018.59
7,O3,P46,1,100.2,100.2
8,O3,P16,10,411.39,4113.9
9,O4,P67,10,485.15,4851.5
10,O4,P19,5,111.47,557.35
11,O4,P93,7,77.13,539.91
12,O4,P35,4,254.28,1017.12
13,O4,P56,4,136.22,544.88
14,O5,P65,4,297.57,1190.28
15,O5,P94,9,215.08,1935.72
16,O5,P66,6,277.99,1667.94
17,O5,P48,9,170.46,1534.14
18,O5,P87,5,38.45,192.25
19,O6,P77,4,32.49,129.96
20,O6,P36,5,131.79,658.95
21,O6,P65,4,151.61,606.44
22,O6,P18,2,381.74,763.48
23,O7,P59,7,413.57,2894.99
24,O7,P68,10,342.68,3426.8
25,O7,P37,5,308.83,1544.15
26,O8,P16,10,271.91,2719.1
27,O8,P68,6,389.84,2339.04
28,O8,P1,7,17.63,123.41
29,O8,P75,10,322.35,3223.5
30,O9,P22,8,52.27,418.16
31,O9,P84,4,180.58,722.32
32,O10,P29,4,186.56,746.24
33,O10,P10,8,248.47,1987.76
34,O10,P73,10,10.2,102.0
35,O10,P63,6,411.47,2468.82
36,O10,P77,9,74.08,666.72
37,O11,P14,1,27.24,27.24
38,O11,P62,6,109.04,654.24
39,O12,P42,10,142.35,1423.5
40,O12,P77,3,125.11,375.33
41,O12,P40,2,136.61,273.22
42,O12,P91,8,359.31,2874.48
43,O13,P68,2,396.82,793.64
44,O13,P22,2,181.27,362.54
45,O14,P48,6,169.78,1018.68
46,O15,P17,7,473.03,3311.21
47,O15,P37,3,97.69,293.07
48,O15,P24,5,419.96,2099.8
49,O16,P4,6,46.39,278.34
50,O16,P2,7,88.18,617.26
51,O17,P66,3,140.27,420.81
52,O18,P24,4,22.29,89.16
53,O18,P12,8,448.19,3585.52
54,O18,P82,2,433.59,867.18
55,O19,P7,8,447.44,3579.52
56,O19,P67,5,284.45,1422.25
57,O19,P58,10,218.8,2188.0
58,O19,P34,6,281.43,1688.58
59,O20,P45,9,216.42,1947.78
60,O20,P0,2,289.5,579.0
61,O21,P98,4,430.53,1722.12
62,O21,P26,1,198.15,198.15
63,O21,P2,10,337.91,3379.1
64,O21,P56,8,333.93,2671.44
65,O21,P71,2,370.54,741.08
66,O22,P71,2,327.11,654.22
67,O22,P31,8,150.84,1206.72
68,O22,P80,10,344.48,3444.8
69,O23,P78,6,286.52,1719.12
70,O23,P85,4,460.4,1841.6
71,O24,P86,2,143.37,286.74
72,O25,P35,3,358.73,1076.19
73,O25,P7,6,367.6,2205.6
74,O25,P92,9,57.99,521.91
75,O26,P84,8,270.24,2161.92
76,O26,P3,6,253.56,1521.36
77,O26,P74,2,224.15,448.3
78,O26,P36,1,184.88,184.88
79,O26,P63,1,347.29,347.29
80,O27,P54,8,248.07,1984.56
