order_id,customer_id,order_date,order_status
O1,C113,2025-12-03,Pending
O2,C189,2022-11-28,Shipped
O3,C15,2023-08-06,Delivered
O4,C28,2023-02-16,Pending
O5,C39,2023-11-04,Delivered
O6,C63,2024-07-03,Delivered
O7,C73,2024-10-28,Delivered
O8,C55,2023-01-17,Pending
O9,C182,2024-06-03,Shipped
O10,C153,2023-03-24,Cancelled
O11,C71,2024-09-26,Delivered
O12,C76,2025-11-02,Delivered
O13,C180,2024-03-15,Shipped
O14,C93,2025-10-27,Cancelled
O15,C15,2022-08-23,Pending
O16,C155,2023-05-20,Shipped
O17,C134,2023-11-26,Cancelled
O18,C109,2022-08-21,Delivered
O19,C43,2025-05-05,Delivered
O20,C160,2023-06-22,Cancelled
O21,C11,2025-03-26,Pending
O22,C153,2022-01-25,Pending
O23,C146,2023-08-19,Cancelled
O24,C3,2024-03-09,Pending
O25,C157,2025-07-26,Shipped
O26,C156,2025-08-19,Shipped
O27,C104,2023-01-24,Pending
O28,C82,2022-02-14,Cancelled
O29,C145,2025-11-12,Shipped
O30,C107,2023-06-23,Delivered
O31,C26,2025-01-12,Cancelled
O32,C115,2022-05-13,Pending
O33,C185,2024-09-16,Pending
O34,C105,2023-06-17,Pending
O35,C158,2024-02-01,Pending
O36,C61,2023-06-12,Shipped
O37,C121,2022-05-22,Cancelled
O38,C70,2025-08-26,Pending
O39,C121,2024-09-28,Pending
O40,C199,2024-03-04,Cancelled
O41,C180,2022-03-20,Shipped
O42,C96,2024-08-14,Delivered
O43,C194,2025-02-28,Pending
O44,C193,2024-08-01,Pending
O45,C39,2022-07-24,Pending
O46,C88,2024-09-12,Cancelled
O47,C160,2022-05-20,Pending
O48,C32,2025-09-24,Cancelled
O49,C26,2025-04-17,Cancelled
O50,C114,2025-09-01,Cancelled
O51,C53,2023-10-16,Delivered
O52,C196,2022-11-04,Delivered
O53,C85,2024-05-20,Delivered
O54,C80,2023-08-10,Shipped
O55,C29,2025-01-21,Shipped
O56,C52,2022-02-08,Delivered
O57,C165,2023-04-11,Pending
O58,C81,2025-07-04,Delivered
O59,C154,2024-02-14,Delivered
