product_id,name,category,unit_price
P0,Portable Bag,General,475.67
P1,Portable Watch,General,215.29
P2,Ergonomic Spray,General,269.69
P3,Ergonomic Medicine,General,378.11
P4,Blue Laptop,General,363.39
P5,Blue Shampoo,General,491.94
P6,Large Bottle,General,98.17
P7,Small Laptop,General,145.53
P8,Blue Spray,General,499.09
P9,Red Watch,General,27.07
P10,Red Phone,General,61.51
P11,Large Bottle,General,173.39
P12,Red Shampoo,General,102.81
P13,Blue Bottle,General,349.45
P14,Large Phone,General,487.37
P15,Blue Pen,General,413.2
P16,Large Pen,General,213.67
P17,Red Laptop,General,158.43
P18,Large Laptop,General,218.48
P19,Portable Bag,General,190.02
P20,Blue Spray,General,398.91
P21,Blue Spectacles,General,293.1
P22,Portable Laptop,General,360.16
P23,Blue Watch,General,473.52
P24,Portable Spray,General,36.16
P25,Ergonomic Medicine,General,375.04
P26,Small Spectacles,General,494.41
P27,Portable Phone,General,378.17
P28,Portable Spectacles,General,260.41
P29,Blue Phone,General,134.58
P30,Large Spectacles,General,191.49
P31,Large Laptop,General,441.8
P32,Large Medicine,General,174.03
P33,Ergonomic Shampoo,General,355.95
P34,Portable Shampoo,General,65.44
P35,Small Shampoo,General,402.5
P36,Small Phone,General,148.34
P37,Blue Medicine,General,197.65
P38,Ergonomic Bag,General,393.51
P39,Small Spray,General,159.57
P40,Blue Medicine,General,310.12
P41,Small Spectacles,General,397.38
P42,Large Watch,General,304.67
P43,Portable Bottle,General,317.7
P44,Red Phone,General,114.16
P45,Ergonomic Shampoo,General,342.82
P46,Large Bottle,General,170.25
P47,Blue Book,General,226.43
P48,Blue Medicine,General,54.32
P49,Portable Bottle,General,243.5
P50,Ergonomic Bottle,General,347.65
P51,Small Laptop,General,31.99
P52,Blue Bag,General,136.87
P53,Portable Laptop,General,94.14
P54,Ergonomic Bottle,General,141.17
P55,Large Phone,General,51.47
P56,Red Watch,General,487.13
P57,Blue Bottle,General,358.07
P58,Red Watch,General,197.05
P59,Blue Bag,General,24.09
P60,Blue Spectacles,General,124.07
P61,Ergonomic Pen,General,485.53
P62,Small Bottle,General,363.36
P63,Red Phone,General,212.17
P64,Small Medicine,General,347.08
P65,Red Phone,General,382.07
P66,Small Shampoo,General,81.22
P67,Ergonomic Laptop,General,245.1
P68,Red Medicine,General,76.28
P69,Red Shampoo,General,162.04
P70,Large Watch,General,69.96
P71,Ergonomic Bottle,General,272.51
P72,Large Medicine,General,271.38
P73,Large Bag,General,43.14
P74,Blue Medicine,General,469.52
P75,Ergonomic Spectacles,General,344.96
P76,Large Laptop,General,462.75
P77,Large Laptop,General,64.43
P78,Small Pen,General,346.18
P79,Large Watch,General,273.03
P80,Blue Spectacles,General,115.3
P81,Small Shampoo,General,81.08
P82,Blue Book,General,410.93
P83,Blue Spray,General,135.37
P84,Portable Book,General,263.0
P85,Large Spectacles,General,135.78
P86,Large Bottle,General,299.36
P87,Red Spray,General,181.58
P88,Red Bottle,General,121.17
P89,Portable Bag,General,109.84
P90,Small Laptop,General,416.93
P91,Large Bottle,General,112.42
P92,Ergonomic Watch,General,124.02
P93,Ergonomic Laptop,General,188.76
P94,Portable Spectacles,General,355.74
P95,Portable Bottle,General,87.03
P96,Red Medicine,General,150.2
P97,Portable Laptop,General,327.99
P98,Ergonomic Spectacles,General,232.73
P99,Small Spray,General,168.89
